場所,日付,目的,取得した商品名,商品名,ジャンル,1個あたりの値段,個数,合計の割引,金額
イオン,2023-11-02,家族,BP油揚げ,油揚げ,加工品,98,1,20,84
イオン,2023-11-02,家族,メグナチュレ,ヨーグルト,乳製品,148,1,0,160
イオン,2023-11-02,家族,ほうれん草,ほうれん草,野菜,97,1,0,105
イオン,2023-11-02,家族,"TV大豆もち麦HB豆乳1,",豆乳,乳製品,258,5,645,697
イオン,2023-11-02,家族,専門店もめん,豆腐,加工品,198,1,99,107
イオン,2023-11-02,家族,"BPおでん種セット1,",おでん,加工品,358,3,537,580
イオン,2023-11-02,家族,伊藤アルトバイエルン,ソーセージ,肉類,358,1,0,387
イオン,2023-12-11,家族,"出汁香る!ロースかつ丼1,",かつ丼,惣菜,348,4,560,899
イオン,2023-12-11,家族,ダブル穴子&季節野菜天,天丼,惣菜,298,2,298,322
イオン,2023-12-11,家族,かき揚げ&ダブル海老天,天丼,惣菜,298,1,149,161
イオン,2023-12-16,家族,大根,大根,野菜,98,2,10,201
イオン,2023-12-16,家族,たこ,たこ,魚類,362,1,109,273
イオン,2023-12-16,家族,BP油揚げ,油揚げ,加工品,98,1,5,100
イオン,2023-12-16,家族,えちぜん海老茶碗蒸し276*↓,茶碗蒸し,加工品,138,2,84,207
イオン,2023-12-16,家族,BP極小粒納豆58%↓,納豆,加工品,58,1,3,59
イオン,2023-12-16,家族,BPおでん種セット716X↓,おでん,加工品,358,2,174,585
イオン,2023-12-16,家族,小松菜98%↓,小松菜,野菜,98,1,5,100
イオン,2023-12-16,家族,トマト,トマト,野菜,398,1,20,408
イオン,2023-12-16,家族,はくさい78%↓,白菜,野菜,78,1,4,80
イオン,2023-12-16,家族,ほうれん草,ほうれん草,野菜,50,1,3,51
イオン,2023-12-16,家族,ふじりんご294%↓,りんご,果物,98,3,15,301
イオン,2023-12-16,家族,キャベツ(1玉)60X↓,キャベツ,野菜,60,1,3,62
イオン,2023-12-16,家族,にんじん294X↓,人参,野菜,98,3,15,301
イオン,2023-12-16,家族,人参その他80%↓,人参,野菜,80,1,4,82
イオン,2023-12-16,家族,ジョンソンヴィル,ソーセージ,肉類,858,1,288,616
イオン,2023-12-16,家族,ぶなしめじ98%↓,ぶなしめじ,野菜,98,1,5,100
イオン,2023-12-16,家族,柿の種チョコ,チョコ,お菓子,100,6,30,616
イオン,2023-12-16,家族,サイズミックス,卵,乳製品,158,2,16,324
イオン,2023-12-16,家族,白ねぎ,ねぎ,野菜,198,1,10,203
イオン,2023-12-17,家族,詰合せ01770%↓,詰合せ,お菓子,770,1,39,789
イオン,2023-12-17,家族,おしるこ,おしるこ,加工品,300,1,0,324
イオン,2023-12-22,家族,梅入り昆布,生昆布,加工品,218,1,109,118
イオン,2023-12-22,家族,TVプロテインYG,プロテイン,飲み物,278,1,139,150
イオン,2023-12-22,家族,超熟フォカッチャ,フォカッチャ,主食,198,2,198,214
イオン,2023-12-22,家族,フクユタカ美味しい絹,豆腐,加工品,238,1,119,129
イオン,2023-12-22,家族,オーガニック絹とうふ,豆腐,加工品,118,1,59,64
イオン,2023-12-22,家族,ダブルソフト,パン,主食,258,1,129,139
イオン,2023-12-22,家族,"フルグラチョコバナナL2,",フルグラ,シリアル,698,3,0,2262
イオン,2023-12-22,家族,bibigoポギキムチ,キムチ,加工品,698,1,349,377
イオン,2023-12-22,家族,小林牧場のむヨーグルト,ヨーグルト,乳製品,498,2,498,538
イオン,2023-12-22,家族,柿の種チョコ,チョコ,お菓子,100,5,0,540
イオン,2023-12-22,家族,低糖質Eマフィン,マフィン,お菓子,168,1,84,91
イオン,2023-12-22,家族,LBPグリーン,アイス,デザート,298,1,0,322
イオン,2023-12-22,家族,もやし,もやし,野菜,15,6,0,97
イオン,2023-12-22,家族,LBPチョコ,アイス,デザート,298,1,0,322
イオン,2023-12-22,家族,ロマネスコ,ロマネスコ,お菓子,100,1,0,108
イオン,2023-12-22,家族,野菜,やさい,野菜,60,1,0,65
イオン,2023-12-22,家族,なす,なす,野菜,58,1,0,63
イオン,2023-12-22,家族,水菜,水菜,野菜,80,1,0,86
イオン,2023-12-22,家族,"フルグラ750g1,",フルグラ,シリアル,698,2,0,1508
イオン,2023-12-22,家族,フルグラチョコバナナL,フルグラ,シリアル,698,1,0,754
イオン,2023-12-22,家族,銀鮭塩麴漬,鮭,魚類,498,1,200,322
イオン,2023-12-22,家族,銀鮭西京漬,鮭,魚類,498,1,200,322
イオン,2023-12-22,家族,銀鮭味噌漬,鮭,魚類,498,1,200,322
イオン,2023-12-22,家族,ぶなしめじ,ぶなしめじ,野菜,98,1,0,106
イオン,2023-12-22,家族,サラダ菜,サラダ菜,野菜,58,1,0,63
イオン,2023-12-24,家族,LBPチョコ,アイス,デザート,298,2,0,644
イオン,2023-12-24,家族,LBPストロベリ,アイス,デザート,298,1,0,322
イオン,2023-12-24,家族,ビオ砂糖脂肪O,ヨーグルト,乳製品,198,1,0,214
イオン,2023-12-24,家族,トマト,トマト,野菜,350,1,0,378
